,State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
180287,New York,New York,36,61,2012-03-16,85,Moderate,PM2.5,36-061-0134,4
180288,New York,New York,36,61,2012-03-17,64,Moderate,PM2.5,36-061-0135,3
180289,New York,New York,36,61,2012-03-18,58,Moderate,PM2.5,36-061-0134,3
180290,New York,New York,36,61,2012-03-19,69,Moderate,PM2.5,36-061-0134,4
180291,New York,New York,36,61,2012-03-20,64,Moderate,PM2.5,36-061-0134,3
180292,New York,New York,36,61,2012-03-21,61,Moderate,PM2.5,36-061-0134,3
180293,New York,New York,36,61,2012-03-22,66,Moderate,PM2.5,36-061-0134,4
180294,New York,New York,36,61,2012-03-23,56,Moderate,PM2.5,36-061-0134,3
180295,New York,New York,36,61,2012-03-24,31,Good,PM2.5,36-061-0135,3
180296,New York,New York,36,61,2012-03-25,54,Moderate,PM2.5,36-061-0134,4
180297,New York,New York,36,61,2012-03-26,38,Good,PM2.5,36-061-0128,3
180298,New York,New York,36,61,2012-03-27,31,Good,PM2.5,36-061-0134,3
180299,New York,New York,36,61,2012-03-28,59,Moderate,PM2.5,36-061-0134,4
180300,New York,New York,36,61,2012-03-29,26,Good,PM2.5,36-061-0128,3
180301,New York,New York,36,61,2012-03-30,27,Good,PM2.5,36-061-0135,3
180302,New York,New York,36,61,2012-03-31,49,Good,PM2.5,36-061-0128,4
180303,New York,New York,36,61,2012-04-01,44,Good,PM2.5,36-061-0135,3
180304,New York,New York,36,61,2012-04-02,27,Good,PM2.5,36-061-0128,3
180305,New York,New York,36,61,2012-04-03,36,Good,PM2.5,36-061-0128,4
180306,New York,New York,36,61,2012-04-04,32,Good,PM2.5,36-061-0134,3
180307,New York,New York,36,61,2012-04-05,34,Good,Ozone,36-061-0135,3
180308,New York,New York,36,61,2012-04-06,46,Good,PM2.5,36-061-0134,4
180309,New York,New York,36,61,2012-04-07,44,Good,Ozone,36-061-0135,3
180310,New York,New York,36,61,2012-04-08,49,Good,Ozone,36-061-0135,3
180311,New York,New York,36,61,2012-04-09,51,Moderate,PM2.5,36-061-0134,4
180312,New York,New York,36,61,2012-04-10,51,Moderate,PM2.5,36-061-0134,3
180313,New York,New York,36,61,2012-04-11,35,Good,PM2.5,36-061-0128,3
180314,New York,New York,36,61,2012-04-12,35,Good,PM2.5,36-061-0128,4
180315,New York,New York,36,61,2012-04-13,44,Good,Ozone,36-061-0135,3
180316,New York,New York,36,61,2012-04-14,53,Moderate,PM2.5,36-061-0134,3
180317,New York,New York,36,61,2012-04-15,69,Moderate,PM2.5,36-061-0134,4
180318,New York,New York,36,61,2012-04-16,75,Moderate,PM2.5,36-061-0135,3
180319,New York,New York,36,61,2012-04-17,40,Good,Ozone,36-061-0135,3
180320,New York,New York,36,61,2012-04-18,53,Moderate,PM2.5,36-061-0128,4
180321,New York,New York,36,61,2012-04-19,39,Good,PM2.5,36-061-0134,3
180322,New York,New York,36,61,2012-04-20,44,Good,Ozone,36-061-0135,3
180323,New York,New York,36,61,2012-04-21,54,Moderate,PM2.5,36-061-0134,4
180324,New York,New York,36,61,2012-04-22,24,Good,Ozone,36-061-0135,3
180325,New York,New York,36,61,2012-04-23,26,Good,Ozone,36-061-0135,3
180326,New York,New York,36,61,2012-04-24,44,Good,Ozone,36-061-0135,4
180327,New York,New York,36,61,2012-04-25,54,Moderate,PM2.5,36-061-0134,3
180328,New York,New York,36,61,2012-04-26,59,Moderate,PM2.5,36-061-0134,3
180329,New York,New York,36,61,2012-04-27,42,Good,PM2.5,36-061-0128,4
180330,New York,New York,36,61,2012-04-28,43,Good,Ozone,36-061-0135,3
180331,New York,New York,36,61,2012-04-29,48,Good,Ozone,36-061-0135,3
180332,New York,New York,36,61,2012-04-30,42,Good,Ozone,36-061-0135,4
180333,New York,New York,36,61,2012-05-01,54,Moderate,PM2.5,36-061-0134,3
180334,New York,New York,36,61,2012-05-02,35,Good,PM2.5,36-061-0128,3
180335,New York,New York,36,61,2012-05-03,62,Moderate,PM2.5,36-061-0134,4
180336,New York,New York,36,61,2012-05-04,53,Moderate,PM2.5,36-061-0135,3
180337,New York,New York,36,61,2012-05-05,49,Good,PM2.5,36-061-0134,3
180338,New York,New York,36,61,2012-05-06,48,Good,PM2.5,36-061-0134,4
180339,New York,New York,36,61,2012-05-07,31,Good,Ozone,36-061-0135,3
180340,New York,New York,36,61,2012-05-08,38,Good,PM2.5,36-061-0134,3
180341,New York,New York,36,61,2012-05-09,67,Moderate,PM2.5,36-061-0134,4
180342,New York,New York,36,61,2012-05-10,40,Good,Ozone,36-061-0135,3
180343,New York,New York,36,61,2012-05-11,43,Good,Ozone,36-061-0135,3
180344,New York,New York,36,61,2012-05-12,61,Moderate,Ozone,36-061-0135,4
180345,New York,New York,36,61,2012-05-13,84,Moderate,Ozone,36-061-0135,3
180346,New York,New York,36,61,2012-05-14,55,Moderate,PM2.5,36-061-0135,3
180347,New York,New York,36,61,2012-05-15,55,Moderate,PM2.5,36-061-0134,4
180348,New York,New York,36,61,2012-05-16,63,Moderate,PM2.5,36-061-0135,3
180349,New York,New York,36,61,2012-05-17,41,Good,Ozone,36-061-0135,3
180350,New York,New York,36,61,2012-05-18,43,Good,PM2.5,36-061-0079,4
180351,New York,New York,36,61,2012-05-19,48,Good,Ozone,36-061-0135,3
180352,New York,New York,36,61,2012-05-20,45,Good,PM2.5,36-061-0128,3
180353,New York,New York,36,61,2012-05-21,52,Moderate,PM2.5,36-061-0128,4
180354,New York,New York,36,61,2012-05-22,29,Good,Ozone,36-061-0135,3
180355,New York,New York,36,61,2012-05-23,54,Moderate,PM2.5,36-061-0135,3
180356,New York,New York,36,61,2012-05-24,61,Moderate,PM2.5,36-061-0134,4
180357,New York,New York,36,61,2012-05-25,46,Good,PM2.5,36-061-0134,3
180358,New York,New York,36,61,2012-05-26,68,Moderate,PM2.5,36-061-0128,3
